1971 ;Intel 4004 ;2300;4.600000
1972 ;Intel 8008 ;3500;3.500000
1974 ;Intel 8080 ;4500;1.451613
1976 ;Intel 8085 ;6500;0.890411
1978 ;Intel 8086 ;29000;2.660550
1979 ;Intel 8088 ;29000;2.027972
1982 ;Intel 80186 ;55000;2.835052
1982 ;Intel 80286 ;134000;6.907216
1985 ;Intel 80386 ;275000;12.910798
1988 ;Intel i960 ;250000;8.928571
1989 ;Intel 80486 ;1180235;54.388710
1993 ;Pentium ;3100000;105.084746
1995 ;Pentium Pro ;5500000;132.211538
1997 ;Pentium II Klamath ;7500000;117.739403
1998 ;Pentium II Deschutes ;7500000;116.279070
1999 ;Pentium III Katmai ;9500000;135.327635
1999 ;Pentium II Mobile Dixon ;27400000;390.313390
2000 ;Pentium 4 Willamette ;42000000;487.804878
2000 ;Pentium III Coppermine ;21000000;243.902439
2001 ;Pentium III Tualatin ;45000000;539.568345
2002 ;Itanium 2 McKinley ;220000000;2795.425667
2002 ;Pentium 4 Northwood ;55000000;698.856417
2003 ;Itanium 2 Madison 6M ;410000000;5144.291092
2004 ;Itanium 2 with 9 MB cache ;592000000;6964.705882
2004 ;Pentium 4 Prescott ;112000000;1317.647059
2005 ;Pentium 4 Prescott-2M ;169000000;1691.691692
2005 ;Pentium D Smithfield ;228000000;2282.282282
2006 ;Core 2 Duo Conroe ;291000000;3092.454835
2006 ;Dual-core Itanium 2 ;1700000000;18065.887354
2006 ;Pentium 4 Cedar Mill ;184000000;1955.366631
2006 ;Pentium D Presler ;362000000;3846.971307
2007 ;Core 2 Duo Allendale ;169000000;1958.285052
2007 ;Core 2 Duo Wolfdale ;411000000;4762.456547
2008 ;Atom ;47000000;560.190703
2008 ;Core 2 Duo Wolfdale 3M ;230000000;2741.358760
2008 ;Core i7 (Quad) ;731000000;8712.753278
2008 ;Six-core Xeon 7400 ;1900000000;22646.007151
2010 ;8-core Xeon Nehalem-EX ;2300000000;27878.787879
2010 ;Quad-core Itanium Tukwila ;2000000000;24242.424242
2010 ;Six-core Core i7 (Gulftown) ;1170000000;14181.818182
2011 ;10-core Xeon Westmere-EX ;2600000000;25974.025974
2011 ;Quad-core + GPU Core i7 ;1160000000;11588.411588
2011 ;(Sandy Bridge-E/EP) ;2270000000;22677.322677
2012 ;61-core Xeon Phi ;5000000000;47619.047619
2012 ;8-core Itanium Poulson ;3100000000;29523.809524
2012 ;Atom "Medfield" ;432000000;4114.285714
2012 ;Quad-core + GPU Core i7 Ivy Bridge ;1400000000;13333.333333
2013 ;Six-core Core i7 Ivy Bridge E ;1860000000;17286.245353
2014 ;15-core Xeon Ivy Bridge-EX ;4310000000;40393.626992
2014 ;18-core Xeon Haswell-E5 ;5560000000;52108.716026
2014 ;8-core Core i7 Haswell-E ;2600000000;24367.385192
2014 ;Quad-core + GPU Core i7 Haswell ;1400000000;13120.899719
2015 ;Dual-core + GPU Iris Core i7 Broadwell-U ;1900000000;17707.362535
2015 ;Quad-core + GPU GT2 Core i7 Skylake K ;1750000000;16309.412861
2016 ;10-core Core i7 Broadwell-E ;3200000000;30188.679245
2016 ;22-core Xeon Broadwell-E5 ;7200000000;67924.528302
